"","AIC","BIC","Normality test (p.value)","Ljung Box Test (p.value)"
"ARIMA(0,1,2)",537.103012538362,542.455581440117,0.486163451510562,0.0688677480055733
"ARIMA(1,1,1)",538.483637842033,543.836206743788,0.260282718969124,0.0653319262194301
"ARIMA(1,1,2)",534.261053020959,541.397811556632,0.424834665128325,0.170438272585679
